file_name,.pred_fruit,.pred_flower,.logit_fruit,.logit_flower,.class_flower,.class_fruit,.equivocal_flower,.equivocal_fruit
126643301.jpg,0.193359375,0.09075927734375,-1.4287109375,-2.3046875,Not Detected,Not Detected,Unequivocal,Unequivocal
126643317.jpg,0.0880126953125,0.220703125,-2.337890625,-1.26171875,Not Detected,Not Detected,Unequivocal,Unequivocal
126643320.jpg,0.363525390625,0.376220703125,-0.560546875,-0.505859375,Not Detected,Not Detected,Equivocal,Equivocal
126643327.jpg,0.011199951171875,0.994140625,-4.48046875,5.12109375,Detected,Not Detected,Unequivocal,Unequivocal
126643328.jpg,0.01061248779296875,0.98974609375,-4.53515625,4.5859375,Detected,Not Detected,Unequivocal,Unequivocal
126643330.jpg,0.80859375,0.09503173828125,1.4404296875,-2.25390625,Not Detected,Detected,Unequivocal,Unequivocal
126643331.jpg,0.24853515625,0.2230224609375,-1.1064453125,-1.248046875,Not Detected,Not Detected,Unequivocal,Equivocal
126643332.jpg,0.00572967529296875,0.99951171875,-5.15625,7.40625,Detected,Not Detected,Unequivocal,Unequivocal
126643333.jpg,0.04534912109375,0.48291015625,-3.046875,-0.06884765625,Not Detected,Not Detected,Equivocal,Unequivocal
126643335.jpg,0.01056671142578125,0.9970703125,-4.5390625,5.84765625,Detected,Not Detected,Unequivocal,Unequivocal
126643336.jpg,0.010986328125,0.17626953125,-4.5,-1.5419921875,Not Detected,Not Detected,Unequivocal,Unequivocal
126643337.jpg,0.01507568359375,0.96630859375,-4.1796875,3.357421875,Detected,Not Detected,Unequivocal,Unequivocal
126643338.jpg,0.05572509765625,0.303466796875,-2.830078125,-0.8310546875,Not Detected,Not Detected,Equivocal,Unequivocal
126643339.jpg,0.006717681884765625,0.99462890625,-4.99609375,5.24609375,Detected,Not Detected,Unequivocal,Unequivocal
126643342.jpg,0.024658203125,0.9697265625,-3.677734375,3.46484375,Detected,Not Detected,Unequivocal,Unequivocal
126643344.jpg,0.004718780517578125,0.94482421875,-5.3515625,2.84375,Detected,Not Detected,Unequivocal,Unequivocal
126643346.jpg,0.11297607421875,0.6689453125,-2.060546875,0.70361328125,Not Detected,Not Detected,Equivocal,Unequivocal
